1667338047.896849 client started (17067): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1667338047.896957 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:30 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T8103
1667338047.897390 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1667338047.903020 sending message 105 to peer 0x138008000 (38 bytes)
1667338047.903027 sending message 105 to peer 0x138008000 (12 bytes)
1667338047.903035 sending message 105 to peer 0x138008000 (22 bytes)
1667338047.903042 sending message 105 to peer 0x138008000 (52 bytes)
1667338047.903050 sending message 105 to peer 0x138008000 (10 bytes)
1667338047.903058 sending message 105 to peer 0x138008000 (10 bytes)
1667338047.903065 sending message 105 to peer 0x138008000 (25 bytes)
1667338047.903073 sending message 106 to peer 0x138008000 (0 bytes)
1667338047.903154 sending message 200 to peer 0x138008000 (4 bytes)
1667338047.903165 client loop enter
1667338047.903430 peer 0x138008000 message 303
1667338047.903441 open write file 2 -
1667338047.903462 sending message 305 to peer 0x138008000 (8 bytes)
1667338047.903476 write check file 2
1667338047.903530 peer 0x138008000 message 304
1667338047.903541 write 58 to file 2
1667338047.903550 peer 0x138008000 message 203
1667338047.903558 file 2 58 bytes left
1667338047.903582 write check file 2
1667338047.903591 client loop exit
